VulnerabilityScore,ScaleFactor,Size,ScenarioVariant,InfectionRate
1,0.5,Small,S1,0.015
2,0.75,Small,S1,0.03
3,1,Small,S1,0.04
4,1.25,Small,S1,0.05
5,1.5,Small,S1,0.075
1,0.5,Medium,S1,0.01125
2,0.75,Medium,S1,0.0225
3,1,Medium,S1,0.03
4,1.25,Medium,S1,0.0375
5,1.5,Medium,S1,0.05625
1,0.5,Large,S1,0.01125
2,0.75,Large,S1,0.0225
3,1,Large,S1,0.03
4,1.25,Large,S1,0.0375
5,1.5,Large,S1,0.05625
1,0.5,Premier,S1,0.015
2,0.75,Premier,S1,0.03
3,1,Premier,S1,0.04
4,1.25,Premier,S1,0.05
5,1.5,Premier,S1,0.075
1,0.5,Small,S2,0.03
2,0.75,Small,S2,0.06
3,1,Small,S2,0.08
4,1.25,Small,S2,0.1
5,1.5,Small,S2,0.15
1,0.5,Medium,S2,0.0225
2,0.75,Medium,S2,0.045
3,1,Medium,S2,0.06
4,1.25,Medium,S2,0.075
5,1.5,Medium,S2,0.1125
1,0.5,Large,S2,0.0225
2,0.75,Large,S2,0.045
3,1,Large,S2,0.06
4,1.25,Large,S2,0.075
5,1.5,Large,S2,0.1125
1,0.5,Premier,S2,0.03
2,0.75,Premier,S2,0.06
3,1,Premier,S2,0.08
4,1.25,Premier,S2,0.1
5,1.5,Premier,S2,0.15
1,0.5,Small,X1,0.0405
2,0.75,Small,X1,0.081
3,1,Small,X1,0.108
4,1.25,Small,X1,0.135
5,1.5,Small,X1,0.2025
1,0.5,Medium,X1,0.030375
2,0.75,Medium,X1,0.06075
3,1,Medium,X1,0.081
4,1.25,Medium,X1,0.10125
5,1.5,Medium,X1,0.151875
1,0.5,Large,X1,0.030375
2,0.75,Large,X1,0.06075
3,1,Large,X1,0.081
4,1.25,Large,X1,0.10125
5,1.5,Large,X1,0.151875
1,0.5,Premier,X1,0.0405
2,0.75,Premier,X1,0.081
3,1,Premier,X1,0.108
4,1.25,Premier,X1,0.135
5,1.5,Premier,X1,0.2025
